hrf_time,hrf1,hrf2,hrf3,hrf4,hrf5,hrf6,hrf7,hrf8,hrf9,hrf10,hrf11,hrf12,hrf13,hrf14,hrf15,hrf16,hrf17,hrf18
0,0.0172240080511676,0.0168765576155235,0.0798005859340199,0.0175342138225739,0.0621672566798361,0.020426852496627,0.0471890153229121,0.0362949838871034,0.02692371381905,0.0486079861804461,0.0316161096084788,0.0397325170459864,-0.000409952380896664,0.0172126294086643,-0.01589192602088,-0.0355785542527064,-0.0570806496073393,-0.0801062404451743
0.25,0.0664479292595922,0.0615557967838587,0.127604853363467,0.0573761724600546,0.10411130100948,0.0558091785669294,0.0843014539232343,0.0711104679173439,0.0606278964671363,0.112270177176259,0.0935807455528566,0.102563745995209,0.0593413099722122,0.0779979409725513,0.041191108117306,0.0162620483214565,-0.0127661918944987,-0.0477401462013397
0.5,0.115770158833932,0.106315912758216,0.175381775080636,0.0972800471031786,0.146040571442685,0.0912326138592202,0.121410906455538,0.105935645184875,0.0943555050674186,0.176046552554601,0.155681130761859,0.165520648809666,0.119276921465075,0.138939364408614,0.098473717165484,0.0683145865190959,0.0317693339837158,-0.0151541020353907
0.75,0.165289005677496,0.151237782723868,0.223104004556255,0.137307753968765,0.187940293448843,0.126738267618757,0.158514386385541,0.140780208616878,0.128129965419227,0.240051297364368,0.218053015399487,0.228728900144739,0.179581232667623,0.20019301270988,0.156155477635915,0.120790997722538,0.0767469980958056,0.0178718439544116
1,0.215102778614575,0.196402284040188,0.270744197188117,0.177521209694377,0.229795694149714,0.162367249772431,0.195608908571194,0.175653852298684,0.161974704249958,0.304398596056757,0.280832148756319,0.292314173910741,0.240438592559426,0.261914997710705,0.214435964262876,0.173903217392205,0.122387868438296,0.051557641503328
1.25,0.265309785214674,0.241890292390603,0.31827500585857,0.21798232890958,0.271591998098504,0.198160667983005,0.232691485315926,0.210566267821898,0.195913145873694,0.3692026342205,0.344154281039796,0.356402145045789,0.302033351060818,0.324261432090046,0.273514752418588,0.227863181098934,0.168913012614012,0.086123239442777
1.5,0.316008335134062,0.287782686245264,0.365669085990506,0.258753029547077,0.313314432915776,0.234159633543718,0.26975913233713,0.245527150366599,0.229968718301481,0.434577594660647,0.408155160505276,0.421118486129583,0.364549856956389,0.387388427083683,0.333591417263859,0.282882825608601,0.216543500818276,0.121788590610914
1.75,0.36723424780604,0.334120526086797,0.412869597298269,0.29987567764348,0.354935115936743,0.270402430919777,0.306807493827731,0.280549285322638,0.264169131262668,0.500464712135259,0.472810776187988,0.486422521482612,0.428021553820197,0.451299332684745,0.39473215728402,0.339071283230549,0.265432341346172,0.158749720646416
2,0.418773392296292,0.38078561553032,0.45970173954711,0.341314450373763,0.396373747257055,0.306916058800384,0.343826752031049,0.315657842668942,0.298559244437647,0.566113414023776,0.537458067602617,0.551608168470447,0.491878251965841,0.515386442240799,0.45646965526951,0.396126465365499,0.315460297602531,0.197106955174231
2.25,0.470349149757234,0.427619943096848,0.505961219307426,0.383013976323361,0.437536919668216,0.343724692593791,0.38080572095521,0.350881086050066,0.333188202795522,0.630600177648248,0.601274213813713,0.615802994589057,0.555398856073347,0.57888928711502,0.51820321776161,0.453643480652887,0.36644007403081,0.236936696777963
