time,pc1,pc2,pc3
0,0.0375224672820835,-0.0162031377320575,0.101841136042397
0.002,0.0378326319364755,-0.0158529003827535,0.102291488089144
0.004,0.0381427965908564,-0.0155026630334392,0.102741840135872
0.006,0.0384529612452373,-0.0151524256841225,0.103192192182606
0.008,0.0387631258996182,-0.0148021883348059,0.103642544229343
0.01,0.0390732905539991,-0.0144519509854893,0.104092896276079
0.012,0.03938345520838,-0.0141017136361726,0.104543248322815
0.014,0.0396936198627609,-0.013751476286856,0.104993600369552
0.016,0.0400037845171418,-0.0134012389375394,0.105443952416288
0.018,0.0403139491715227,-0.0130510015882227,0.105894304463025
0.02,0.0406241138259036,-0.0127007642389061,0.106344656509761
0.022,0.0409342784802845,-0.0123505268895895,0.106795008556497
0.024,0.0412444431346654,-0.0120002895402728,0.107245360603234
0.026,0.0415546077890463,-0.0116500521909562,0.10769571264997
0.028,0.0418647724434272,-0.0112998148416396,0.108146064696706
0.03,0.0421749370978081,-0.0109495774923229,0.108596416743443
0.032,0.042485101752189,-0.0105993401430063,0.109046768790179
0.034,0.0427952664065699,-0.0102491027936897,0.109497120836915
0.036,0.0431054310609508,-0.00989886544437303,0.109947472883652
0.038,0.0434155957153317,-0.0095486280950564,0.110397824930388
0.04,0.0437257603697126,-0.00919839074573977,0.110848176977124
0.042,0.0440359250240935,-0.00884815339642314,0.111298529023861
0.044,0.0443460896784744,-0.0084979160471065,0.111748881070597
0.046,0.0446562543328553,-0.00814767869778987,0.112199233117333
0.048,0.0449664189872362,-0.00779744134847323,0.11264958516407
0.05,0.0452765836416171,-0.0074472039991566,0.113099937210806
0.052,0.045586748295998,-0.00709696664983997,0.113550289257543
0.054,0.0458969129503789,-0.00674672930052333,0.114000641304279
0.056,0.0462070776047598,-0.0063964919512067,0.114450993351015
0.058,0.0465172422591407,-0.00604625460189006,0.114901345397752
0.06,0.0468274069135216,-0.00569601725257343,0.115351697444488
0.062,0.0471375715679025,-0.0053457799032568,0.115802049491224
0.064,0.0474477362222834,-0.00499554255394016,0.116252401537961
0.066,0.0477579008766643,-0.00464530520462353,0.116702753584697
0.068,0.0480680655310452,-0.00429506785530689,0.117153105631433
0.07,0.0483782301854261,-0.00394483050599026,0.11760345767817
0.072,0.048688394839807,-0.00359459315667363,0.118053809724906
0.074,0.0489985594941879,-0.00324435580735699,0.118504161771642
0.076,0.0493087241485688,-0.00289411845804036,0.118954513818379
0.078,0.0496188888029498,-0.00254388110872372,0.119404865865115
0.08,0.0499290534573307,-0.00219364375940709,0.119855217911852
0.082,0.0502392181117116,-0.00184340641009046,0.120305569958588
0.084,0.0505493827660925,-0.00149316906077382,0.120755922005324
0.086,0.0508595474204733,-0.00114293171145719,0.121206274052061
0.088,0.0511697120748542,-0.000792694362140555,0.121656626098797
0.09,0.0514798767292352,-0.000442457012823923,0.122106978145533
0.092,0.0517900413836161,-9.22196635072878e-05,0.12255733019227
0.094,0.052100206037997,0.000258017685809346,0.123007682239006
0.096,0.0524103706923778,0.00060825503512598,0.123458034285742
0.098,0.0527205353467588,0.000958492384442615,0.123908386332479
0.1,0.0530307000011397,0.00130872973375925,0.124358738379215
0.102,0.0533408646555206,0.00165896708307588,0.124809090425951
0.104,0.0536510293099015,0.00200920443239252,0.125259442472688
0.106,0.0539611939642824,0.00235944178170915,0.125709794519424
0.108,0.0542713586186633,0.00270967913102578,0.12616014656616
0.11,0.0545815232730442,0.00305991648034242,0.126610498612897
0.112,0.0548916879274251,0.00341015382965905,0.127060850659633
0.114,0.055201852581806,0.00376039117897569,0.12751120270637
0.116,0.0555120172361869,0.00411062852829232,0.127961554753106
0.118,0.0558221818905678,0.00446086587760895,0.128411906799842
0.12,0.0561323465449487,0.00481110322692559,0.128862258846579
0.122,0.0564425111993296,0.00516134057624222,0.129312610893315
0.124,0.0567526758537105,0.00551157792555886,0.129762962940051
0.126,0.0570628405080914,0.00586181527487549,0.130213314986788
0.128,0.0573730051624723,0.00621205262419212,0.130663667033524
0.13,0.0576831698168532,0.00656228997350876,0.13111401908026
0.132,0.0579933344712341,0.00691252732282539,0.131564371126997
0.134,0.058303499125615,0.00726276467214203,0.132014723173733
